CID	Dataset	CHD	HD	HL	CHL	CDL	DL	S+ZS	S+HD	S+CHD	S+CHL	SMILES
3024003	goodscents	The scent is a fresh, green, and herbal rose with bitter notes, similar to parsley.	rose fresh green herbal phenolic bitter parsley. Luebke; A powerful and performant rosy note that is more complex than rose oxide and more refined than diphenyl oxide. An ingredient that combines with many floral perfumes as well as with herbal, aromatic, citrus and fruity notes. It gives fresh diffusive effects when used at levels around 1%.	bitter; fresh; green; herbal; parsley; phenolic; rose	The scent is a fresh, herbal blend with bitter and floral notes, reminiscent of parsley and rose.	Sweet, floral rose and honey notes mingle with earthy, goaty, and spicy undertones.	black; flower; fungal; goaty; green_beans; honey; rose; spicy; sweet	The odor is a sweet, floral, and slightly spicy scent, reminiscent of perfumy notes.	iris floral powder sweet violet	The scent is sweet and spicy, with a warm, aromatic vanilla note.	The scent is sweet and floral, with hints of rose and vanilla.	CC1CCOC(C1)C2=CC=CC=C2
3024081	leffingwell	The scent is sweet with hints of herbal cherry and bitter almond notes.	Sweet, mildly herbal-fruity cherry, bitter-almond	almond; cherry; fruity; herbal; sweet	Sweet almond and cherry notes blend with herbal hints, creating a fruity aroma.	Fresh, complex scent with herbal and floral notes, sweet and minty undertones, and a woody base.	balsamic; floral; fruity; green; herbal; mint; sweet; woody	Earthy, woody scent with herbal and slightly sweet notes.	Fruity, floral, herbaceous and slightly woody scent, rose-like note	Fresh, floral, and woody, with notes of rose, sandalwood, and creamy vanilla.	The scent features woody, herbal, and lavender-like floral notes.	CC(C)CCOC(C1=CC=CC=C1)OCCC(C)C
3024273	goodscents	The scent is herbal, with earthy and botanical notes.	herbal	herbal	The scent is earthy and botanical, reminiscent of fresh herbs like basil and rosemary.	Sweet and sour notes blend with earthy, tropical, and sulfurous undertones.	bland; custard; flower; fungal; grapefruit_peel; green_beans; sulfurous; tropical	The odorant has a pungent, sulfurous smell, resembling garlic or onion.	garlic onion sulfurous earthy	Pungent, sulfurous scent with notes of garlic and onion, intensely savory.	The scent is onion-like, sulfurous, and strongly pungent.	CCCC(CCOC)S
3024287	arctander	The scent is sweet, spicy, and herbaceous with a heavy, lingering presence.	Sweet-spicy, somewhat herbaceous-floral, heavy odor of considerable tenacity	floral; herbaceous; spicy	The scent is a vibrant blend of floral, herbaceous, and spicy notes.	The scent is a sweet floral blend with fruity and herbaceous notes.	floral; fruity; herbaceous	The odorant has a sweet, floral, and slightly woody scent.	Floral, slightly sweet and herbaceous, with a green, citrusy note and a woody undertone.	Sweet, floral scent with green tea and herbal notes, reminiscent of jasmine.	The scent is a sweet and creamy, floral-woody aroma with herbal undertones.	CCCCCOC1=C(C=C(C=C1)CC=C)OC
3025679	leffingwell	The scent is strongly fatty, reminiscent of fried chicken when diluted.	Strongly fatty, on dilution fried chicken-like	chicken; fatty	The smell is reminiscent of greasy fried chicken, rich and savory.	The smell is reminiscent of ripe fruit with a rich, fatty undertone.	fatty; fruity	The scent is a pungent, sweet, and fruity aroma, reminiscent of citrus and floral notes.	Violet, floral, powdery, waxy and slightly fruity notes	Fresh, floral scent with green and citrus notes, evoking cut grass and spring blooms.	The scent features citrus, floral, and slightly sweet orange peel notes.	CCCCCC=CCC=CCC=O
3025865	goodscents	The scent is spicy and herbal, with invigorating notes.	spicy herbal	herbal; spicy	The scent is a warm, pungent blend of herbal and spicy notes.	Earthy, sweet scent with floral and fungal notes, reminiscent of honey and green beans.	flower; fungal; green_beans; honey; mushroom	Earthy, woody scent, similar to musk, with a slightly sweet undertone.	floral woody earthy sandalwood	The scent is earthy, woody, and slightly sweet, with mossy undertones.	The scent is a sweet woody and earthy aroma with green notes.	CCCCC(C(C)CCC)O
3025939	leffingwell	The scent is a smoky mix of burnt coffee and roasted meat.	Cooked, burnt, coffee, roasted, mocha, meaty	burnt; chocolate; coffee; meaty; roasted	Smells like burnt, roasted coffee and chocolate with a meaty undertone.	Pungent aroma blends fruity and tropical notes with meaty, sulfurous undertones.	fruity; meaty; sulfurous; tropical	Garlic-like aroma with a pungent, savory scent due to sulfur presence.	Garlic, onion, savory, meaty, brothy notes	Pungent and savory, with notes of garlic, onion, and smoked meat, and a hint of sweetness.	The scent features onion, garlic, and metallic notes with sweetness.	CC(CC(=O)C)SCC1=CC=CO1
3025943	goodscents	Sweet vanilla and chocolate milk aromas dominate, with caramel and rum notes emerging later.	sweet creamy vanilla chocolate milk; Intense sweet, creamy, vanilla with vanilla ice cream and chocolate milky nuances. The dry out is slightly caramellic and rumy. Mosciano	caramellic; chocolate; creamy; milky; rummy; sweet; vanilla	Rich, sweet aroma with notes of caramel, chocolate, and vanilla.	A neutral scent with hints of acidic and fungal undertones, yet largely odorless.	acid; fungal; odorless	Vanillin and acetone notes combine in a sweet, creamy aroma.	vanilla creamy sweet caramellic	Sweet vanilla and caramel notes blend with citrusy undertones and a hint of acidity.	The scent is a sweet, fruity, and slightly spicy vanilla aroma.	CCOC1=C(C=CC(=C1)C=O)O.CC(C)C(=O)[O-]
3032092	arctander	The crystals have no discernible scent or odor.	Odorless crystals.	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	Sweet caramelic and floral notes with fruity hints, surprisingly odorless overall.	caramelic; floral; fruity; odorless	Pungent, acrid scent with notes of burnt plastic and ammonia.	Sweet, floral, honey-like and slightly powdery odor with Musky undertones.	The scent is sweet, powdery, and slightly spicy with floral undertones.	The scent is indolic, animalic, and slightly sweet with floral undertones.	CCOC1=CC=C(C=C1)N(C)C(=O)N
3032390	goodscents	The scent is completely odorless, lacking any discernible aroma.	odorless	odorless	The scent is completely neutral, lacking any discernible aroma or fragrance.	The scent is earthy and fungal with hints of sweet undertones.	fungal; sweet	The odor of CCC(O)OC is a sweet, fruity butyric acid smell.	woody earthy forest floor mossy	The scent is sweet, floral, and slightly woody, reminiscent of rose petals.	The scent is pungent and sweet, reminiscent of butyric and milky notes.	CCC(O)OC
3032487	arctander	The scent is sweet, musk-like, and slightly oily, but less pleasant and strong.	Sweet and very tenacious, musk-like odor with a somewhat oily undertone. Not quite as pleasant and not as strong as Ethylene brassylate.	musk; oily	The scent is rich and intense, with a deep musky note and a hint of oily smoothness.	The scent is sweetly fruity with a sensual musk undertone.	fruity; musk	It smells like a sweet, fruity, and slightly acidic scent, similar to a ripe tropical fruit.	Mild, sweet Musk-like odor, with an unusual and very pleasant sweetness and excellent tenacity.	The scent is sweet, musky, and powdery, with floral undertones.	The scent is slightly sweet and musky with woody undertones.	C1CCCCC(=O)OCCOC(=O)CCC1
3032541	goodscents	The scent is completely odorless, lacking any discernible fragrance.	odorless	odorless	The smell is completely neutral, lacking any discernible scent or aroma.	The smell is mildly acidic with a nearly imperceptible scent.	acid; mild; odorless	Sodium aluminate has a pungent, alkaline, and metallic smell.	No odor, inorganic compound, sodium aluminum phosphate.	No distinct scent, as this compound is an inorganic salt.	This inorganic compound has no distinct or notable scent.	[O-]P(=O)([O-])[O-].[Na+].[Al+3]
3033866	arctander	The scent is a warm, sweet-spicy-balsamic odor reminiscent of Opopanax.	Pleasant, warm, sweet-spicy-balsamic odor, inevitably reminding the perfumer of Opopanax and “Oriental” fragrance types,	balsamic; spicy	Pungent aroma with sweet balsamic notes and a warm, spicy undertone.	The scent is floral and earthy, with green and rose notes grounded by woody undertones.	green; rose; woody	It smells like beta-pinene, a piney and earthy scent.	Floral, slightly sweet, herbal and woody odor, reminiscent of Lavender and Geranium.	Earthy, woody scent with herbal and slightly spicy undertones, reminiscent of cedar.	The scent is an earthy-woody and slightly spicy, herbaceous odor.	CC1=CCC(=C(C)CCC=C(C)C)CC1
3034119	arctander	The scent is relatively powerful with an oily-herbaceous and sweet aroma.	Relatively powerful, oily -herbaceous, in dilution sweet odor, but not nearly as floral as n-Nonylalcohol.	floral; herbaceous; oily	The scent is a floral and herbaceous blend with a rich, oily undertone.	Fresh rose scent with herbal and woody undertones.	floral; green; herbaceous; rose; woody	The odorant has a sweet, woody, and slightly fruity scent, reminiscent of tropical fruit.	Mild, sweet, woody, Sandalwood-like odor with a slightly dry and herbaceous nuance.	The scent is a rich, waxy blend with notes of sandalwood and earthy undertones.	The scent is sweet, fruity, and floral, similar to sandalwood.	CCCCC(C)C(C)(C)O
3034267	goodscents	The scent is a sweet, floral, and spicy mix with anise and powdery notes.	sweet anise hawthorn green floral cortex mimosa absolute spicy powdery. Luebke; A floral, powdery, spicy note. Used in fine perfumes for its mimosa absolute character.; SWEET, ANISE, GREEN, FLORAL; Floral, orange flower, marine	anise; cortex; floral; green; hawthorn; mimosa; powdery; spicy; sweet	Sweet, floral scent with spicy and powdery notes, reminiscent of anise and hawthorn.	The scent is neutral and umami, lacking a distinct aroma but hinting at savory undertones.	odorless; savory	The odorant has a sweet, floral, and slightly spicy scent.	vanilla almond creamy sweet tonka bean	The scent is sweet, rich, and floral, with notes of vanilla and honey.	The scent is a sweet, floral, and powdery vanilla fragrance.	CC(CC1=CC=C(C=C1)OC)C=NC2=CC=CC=C2C(=O)OC
3034463	goodscents	The scent is a green, herbal, and soapy aldehydic aroma with weedy notes.	green aldehydic weedy herbal cortex privet soapy. Luebke; green-herbal, citrus-aldehydic, soapy. Widely used, versatile green note, particularly good in combination with citrus. Near-identical odour to conventional Triplal but some perfumers would argue it is finer.	aldehydic; cortex; green; herbal; privet; soapy; weedy	Fresh, green, and herbal with a soapy, aldehydic note, evoking privet and weedy cortex.	Sweet and tart, with notes of allium, honey, and tonka, reminiscent of carnival treats and fresh green beans.	allium; cotton_candy; green_beans; honey; tart; tonka	Camphor's pungent, woody, and earthy aroma.	woody, warm, spicy, amber-like, and slightly sweet.	The scent is a warm, spicy aroma with sweet, woody undertones.	The scent is woody, earthy, and slightly spicy with a camphorous note.	CC1C=CCCC1(C)C=O
3034463	leffingwell	The scent is a powerful blend of green, leafy, floral, and citrus notes.	Green, Leafy, Floral, Citrus, Powerful; See comments	citrus; floral; green; leafy	Fresh citrus and floral notes blend with green, leafy undertones.	Fresh, vibrant scent with citrus, floral, and green notes.	aldehydic; citrus; floral; fruity; green; herbal	Camphor's pungent, earthy scent is emitted by this compound.	Minty, camphoraceous, and slightly sweet herbal notes	The scent is earthy and woody, with notes of moss and forest floor.	The scent is earthy, woody, and slightly spicy with a camphorous note.	CC1C=CCCC1(C)C=O
3034481	goodscents	The scent is mildly waxy.	mild waxy	mild; waxy	The scent is mildly sweet with a subtle waxy note, smooth and understated.	Mild, waxy blueberry scent with unpleasant fecal and fungal undertones and an oily note.	blueberry; fecal; fungal; mild; oily; waxy	The odorant has a sweet, waxy, and slightly fruity scent.	orchid floral woody musky amber powdery sweet vanilla	The scent is waxy, sweet, and slightly tropical, with creamy coconut notes.	The scent is a rich, creamy lactone with sweet and milky notes.	CC(C)CCCCCCCCCCCCCCC(=O)OC(CO)CO
3034828	goodscents	The scent is completely odorless, having no discernible smell whatsoever.	odorless	odorless	The scent is completely neutral, lacking any discernible aroma.	The scent is faintly fungal, yet surprisingly mild and nearly odorless.	fungal; mild; odorless	Sweet, fruity aroma, reminiscent of ripe sugar molecules.	Sweet floral rose blossomy	Sweet, floral, and fruity aroma, reminiscent of honey and ripe tropical fruit.	The scent is sweet, floral, and honey-like, reminiscent of rose.	C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O
3034893	goodscents	The scent is a fresh, green, and sweet floral aroma with orange flower and leafy notes.	fresh green sweet floral orangeflower leafy. Luebke; intense green, floral-aldehydic, reminiscent of the green note of broom (genet). Stable in: body lotion (good), shampoo (good), soap (poor), ap roll-on (good), powder (good), cleaner citric (good), cleaner apc (good), bleach (poor).; A fresh green, sweet floral note with orange flower characteristics; floreal, herbaceous, citrusy, lemon and mandarin note; GREEN, FLORAL, ALDEHYDIC, CITRUS	floral; fresh; green; leafy; orangeflower; sweet	The scent is a sweet, floral blend with fresh, green, and orange flower notes.	It smells like nothing, as no descriptive words were provided.		The odorant has a sweet, musky, and slightly floral scent.	vanilla sweet creamy	The scent is warm, sweet, and spicy, with notes of vanilla and tonka bean.	The scent is earthy and leathery with smoky, animalic undertones.	CC1C=C(CCC1=CNC2=CC=CC=C2C(=O)OC)C
3034895	goodscents	The scent is a sweet, fruity floral blend with herbal and jasmine notes.	fruity herbal woody jasmin oily basil; Fresh, herbal note reminiscent of pear. Aldehydic, cyclamen, ozonic, anise; Green, Fruity, Floral. Florocyclene has a sweet fruity floral note with aspects of jasmin and anise. This is the Propionate Ester of the Cyclene family, and is much softer than Jasmacyclene. It works well in combination with the other cyclenes.; Aldehydic/ Aldehyde, Anise/ Anisic/ Anis, Floral, Fruity, Herbal/ Herbaceous, Ozone/Ozonic	basil; fruity; herbal; jasmin; oily; woody	The scent is a rich, herbal blend of basil, jasmine, and fruity notes with woody undertones.	Earthy, floral scent with sweet honey and green notes, reminiscent of a forest floor.	flower; fungal; green_beans; honey; woody	The odorant has a sweet, woody, and slightly spicy scent, reminiscent of camphor.	woody earthy spicy patchouli mossy herbal	Earthy, woody aroma with herbal and slightly bitter undertones, reminiscent of moss.	The scent is a woody and earthy aroma with herbal notes.	CCC(=O)OC1C=CC2C1C3CCC2C3
3066538	goodscents	The scent is sweet and rich, reminiscent of caramel.	caramel	caramellic	The smell is sweet and rich, reminiscent of melted caramel.	Earthy sweetness with hints of caraway and fungal notes.	caraway; fungal; sweet	The smell is sweet, fruity, and slightly musky, reminiscent of caramel.	caramel sweet fruity cotton candy	Sweet, fruity aroma with floral notes, similar to honey and dried fruit.	The scent is sweet, fruity, and floral with notes of peach and rose.	CCC1C(=O)C(=CO1)CO
3080674	goodscents	The scent is a woody cedarwood aroma.	cedarwood woody	cedarwood; woody	The scent is earthy and woody, reminiscent of cedarwood.	Earthy, herbal scent with notes of dried fruit and woody undertones.	dried_fruit; eggy; patchouli; rooty; vetiver; woody	The odorant has a woody, earthy scent, reminiscent of patchouli.	woody earthy amber sandalwood	The scent is earthy and woody, reminiscent of moss and forest floor.	The scent is earthy and woody, with a strong mossy and forest floor aroma.	CC1CCC23CC1C(C2CCC3=C)(C)C
3082018	arctander	The sweet-oily odor is refreshing, yet easily oxidized, becoming less pleasant.	Sweet-oily, green odor, somewhat grassyweedy, but quite refreshing and moderately tenacious. The alcohol oxidizes very easily in air and this process affects the odor considerably to the disadvantage of the pleasantness of this alcohol.	green; oily	Fresh cut grass and motor oil blend together in a pungent, earthy scent.	Fresh cut grass and herbaceous notes combine in a rich, oily scent.	green; leafy; oily	The odorant has a sweet, floral scent, reminiscent of rose or orange blossom.	Fresh, green, earthy, floral, and aquatic odor with a grassy note.	Pungent and sweet, with notes of green apple and citrus.	The scent is pungent, sweet, and fruity, resembling citrus and tropical fruit.	CCC=CC=CO
3083613	goodscents	The scent is reminiscent of sweet anise with notes of methyl chavicol.	sweet anise methyl chavicol	sweet; anise	The scent is sweet and licorice-like, reminiscent of anise.	Pungent aroma with spicy and sulfurous notes, evoking a sharp, burning sensation.	spicy; sulfurous	The odorant has a pungent, acrid smell, similar to styrene.	harsh chemical green floral	Fresh, herbal aroma with notes of citrus and green tea.	The scent is herbal and woody, with fresh green and floral notes.	CC#CC#CCC1=CC=CC=C1
3083782	arctander	The odor is warm, sweet, and spicy, with a powerful and penetrating aroma.	Warm, sweet and spicy-medicinal, very powerful odor, reminiscent of Guaiacol and Eugenol at the same time. The odor is extremely diffusive and penetrating.	medicinal; spicy	Pungent aroma with spicy undertones, reminiscent of strong medicinal herbs.	Complex scent with herbal, floral, and spicy notes, reminiscent of licorice and wood.	anisic; floral; herbaceous; medicinal; phenolic; spicy; woody	The odorant has a sweet, floral scent, similar to vanilla.	Sweet, floral-herbaceous odor with a slightly spicy undertone and moderate tenacity, reminiscent of Methylchavicol.	The scent is sweet and floral with herbal and slightly medicinal notes.	The scent is sweet and mildly spicy with a floral character.	CCC1=CC(=C(C=C1)OC)O
3083805	goodscents	The scent is a sweet floral mix of hyacinth, narcissus, and honey.	floral hyacinth green narcissus foliage radish honey sweet pea. Luebke	floral; foliage; green; honey; hyacinth; narcissus; radish; sweet pea	Sweet, floral scent with green and honey notes, reminiscent of blooming flowers and fresh foliage.	Floral scent with green bean freshness, spicy undertones, and sweet hints.	flower; green_beans; spicy; sweet	Butyrophene has a sweet, chemical, and slightly medicinal aroma.	vanilla sweet caramel powdery	The scent is sweet and floral, with a fruity, slightly spicy aroma.	The scent is a sweet, green, and herbaceous blend with floral notes.	CCC=C(C=O)C1=CC=CC=C1
3083939	goodscents	The scent is completely odorless, lacking any discernible smell.	odorless	odorless	It has no scent or aroma, a completely neutral smell.	Sweet aroma with notes of ripe banana and fresh blueberry.	banana; blueberry	The odorant has a pungent, chemical, and slightly sweet smell.	smoky vanilla tonka bean sweet	Pungent, medicinal aroma with bitter notes and a chemical undertone.	The scent is earthy and herbal, with a pungent, medicinal, and slightly smoky aroma.	COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.O.O.Cl
3084116	goodscents	The air is completely odorless, lacking any discernible scent.	odorless	odorless	It has no scent, a completely neutral and odorless aroma.	Pungent, acidic scent with earthy, fungal undertones.	acid; fungal	Pungent metallic and earthy notes combine in this complex odor.	odorless	No distinct scent, as it's an inorganic compound with no volatile molecules.	This compound has no discernible scent, being inorganic aluminum magnesium silicate.	[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3]
3084311	goodscents	The scent is reminiscent of herbal honey, sweet and floral.	herbal honey	herbal; honey	The scent is sweet and herbal, with notes of warm honey.	Fresh, floral scent with earthy and citrus notes, reminiscent of a seaside garden.	flower; freshly_laundered_clothes; fungal; green_beans; lime; marine; muguet; natural; ozone; woody	The odorant has a woody, earthy scent, reminiscent of cedarwood.	woody earthy sandalwood	The scent is deep and woody, with earthy and mossy notes.	The scent is earthy, woody, and herbaceous with mossy notes.	CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
3084331	goodscents	The scent is a warm blend of herbal, spicy, and sweet honey notes.	herbal spicy honey	herbal; honey; spicy	The scent is warm and inviting, with herbal notes, sweet honey, and a hint of spice.	Floral and fresh, with hints of earthy and spicy notes.	flower; freshly_laundered_clothes; fungal; honey; lime; peppery; tea; woody	The odorant has a woody, earthy scent, reminiscent of patchouli.	woody earthy sandalwood	The aroma is woody, earthy, and herbal, with a hint of forest moss.	The scent is a sweet, powdery, and woody sandalwood fragrance note.	CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
3084426	leffingwell	The scent is reminiscent of green, tropical fruit, particularly ripe banana.	Green, tropical fruit, banana	banana; fruity; green; tropical	Sweet banana aroma with hints of fruity and green tropical notes.	Sweet and fruity, with hints of apple, grape, and tropical notes, smelling fresh and ethereal.	apple; ethereal; fresh; fruity; grape; green; sweet; tropical	Camphor's pungent, earthy aroma.	Fruity, berry, floral, woody, slightly green notes	Fruity and floral, with notes of pear, green apple, and a hint of sweetness.	The scent is fruity, floral, and slightly sweet with citrus notes.	CC(=O)OC(C)(C)C=C
3084526	leffingwell	The scent is mild and fatty-waxy, adding a tactile mouthfeel sensation.	Mild fatty-waxy; adds mouthfeel	fatty; waxy	The scent is rich and heavy, with fatty and waxy notes.	Rich, sweet scent with creamy and fruity notes, subtle floral hints, and a fatty undertone.	creamy; fatty; floral; fruity	The odorant has a pungent, fatty, and slightly sweet smell, similar to coconut or palm oil.	Mild, waxy, soapy, slightly sweet, and floral notes	The scent is waxy, earthy, and slightly sweet, reminiscent of old books and leather.	The scent is waxy, fatty, and slightly sweet with a soapy undertone.	CCCCCCCCCCCCCCCC(=O)OCCCCC
3084571	leffingwell	The scent is sulfurous with hints of green tropical fruit.	Sulfurous, green tropical fruity in dilution	fruity; green; sulfurous; tropical	Pungent tropical fruit aroma with green and sulfurous undertones.	The smell is pungent and sweet, like a fruity onion with fresh green notes.	fruity; green; onion	The odorant has a pungent, sulfurous, and slightly sweet smell.	Allium-like, garlic, onion, leek odor notes	The scent is pungent, with notes of garlic, onion, and savory spices.	The scent features onion, garlic, and sulfurous notes with a pungent character.	CC(=CCSC(=O)C)C
3085213	goodscents	The scent is a fruity and spicy blend with notes of clove.	fruity spicy clove	clove; fruity; spicy	A warm, aromatic scent with notes of clove, fruity sweetness, and spicy undertones.	Earthy, floral scent with bitter and sweet notes, reminiscent of damp wood and fungi.	bitter; flower; fungal; sweet; woody	The scent is a sweet, floral, and slightly woody aroma, reminiscent of vanilla.	floral sweet fruity vanilla	The aroma is sweet and floral, with fruity and herbal notes, like rose and orange blossoms.	The scent is a sweet, floral, and slightly spicy aroma with woody notes.	CC(C)CC(=O)OC1=C(C=C(C=C1)CC=C)OC
3085213	leffingwell	The scent features aromatic, fruity, spicy, and woody notes with a hint of clove.	Aromatic, fruity. spicy, woody & clove like notes	aromatic; fruity; spicy; woody	The scent is a rich, aromatic blend of fruity and spicy notes with a woody undertone.	The scent is a sweet, floral blend with fruity and woody notes.	floral; fruity; sweet; woody	The odorant smells like sweet, woody vanilla with fruity notes.	Vanilla, creamy, sweet, and slightly spicy or floral	Sweet floral scent with hints of violet, bergamot, and creamy vanilla notes.	The scent is woody, amber-like, with sweet vanilla and creamy notes.	CC(C)CC(=O)OC1=C(C=C(C=C1)CC=C)OC
3085519	leffingwell	The scent features waxy, fatty, and tallowy notes with hints of citrus.	Waxy, fatty, tallowy, somewhat citrus notes	citrus; fatty; waxy	The scent combines citrus freshness with fatty and waxy undertones, creating a unique aroma.	The scent combines citrus, fruit, and floral notes with a waxy, oily undertone.	citrus; fatty; floral; fruity; green; oily; waxy	The odor is a pungent, waxy scent, reminiscent of fatty acids.	Waxy, fatty, somewhat metallic, and sweet animalic odor	The scent is waxy, with notes of sweet coconut and creamy musk.	The scent is waxy, fatty, and slightly sweet with animalic notes.	CC(C)CCCCCCCCCC=O
3085610	leffingwell	The scent features mild buttery and cheesy notes.	Mild buttery, cheesy notes	buttery; cheesy	The aroma is rich and savory, with buttery and cheesy notes.	The scent is a sweet, creamy blend of buttery and caramel notes with floral and fruity undertones.	buttery; caramellic; creamy; floral; fruity; sweet	Pungent, fruity, and slightly sweet, with notes of citrus and floral hints.	Fruity, floral, waxy, and slightly sweet, honey-like odor.	Fruity and floral, with sweet notes of apple and peach.	The scent is fruity, green, and vegetal with honey-like sweetness.	CCCC(=O)OC(C)(C(=O)C)OC(=O)CCC
3085812	goodscents	The scent is a fresh, sweet, and floral blend of lily and citrus notes.	fresh lily magnolia sweet citrus freesia green. Luebke; Flowery, Jasmine, Sweet, Fruity, Green. The diffusive jasmine/muguet odour of Myraldyl Acetate gives an exceptionally full bodied,floral character to compositions and blends perfectly with almost all accords. Its good stability and long lasting qualities, combined with its original floral character, make this ingredient an attractive choice for soap and detergent perfumery.; FLORAL, JASMIN, SWEET, FRUITY; rich, mild aroma of lily of the valley and jasmine; Floral, Jasmin, Sweet, Green	citrus; freesia; fresh; green; lily; magnolia; sweet	The scent is a sweet, fresh, and citrusy floral blend.	Sweet, floral scent with fruity and earthy notes, reminiscent of tropical blooms.	banana; flower; fungal; lime; muguet; sweet; woody	The odor is reminiscent of musky, sweet amber notes.	bergamot minty citrus	The scent is rich, woody, and slightly sweet with herbal undertones.	The scent is a sweet and creamy floral amber fragrance.	CC(=CCCC1=CCCC(C1)COC(=O)C)C
3085817	goodscents	The scent combines petitgrain, neroli, and grapefruit with woody, herbal, and cranberry notes.	petitgrain neroli grapefruit woody herbal cranberry. Luebke	cranberry; grapefruit; herbal; neroli; petitgrain; woody	Fruity and floral notes blend with herbal and woody undertones.	Sweet and refreshing, with hints of honey, mint, and wood.	candy; honey; minty; woody	The odorant has a sweet, woody, and slightly earthy scent, reminiscent of sandalwood.	woody earthy sandalwood	The scent is earthy, woody, and slightly sweet, reminiscent of moss.	The scent is earthy and mossy, reminiscent of forest floors.	CC1CC2CC(COC2CC1C)(C)C
3085845	goodscents	The aroma is a rich, nutty blend of roasted hazelnut and peanut.	nutty roasted hazelnut roasted peanut popcorn corn chip toasted grain nut flesh peanut butter. Luebke	corn chip; nut flesh; nutty; peanut butter; popcorn; roasted hazelnut; roasted peanut; toasted grain	Smells like roasted peanuts and toasted nuts with a buttery, grainy undertone.	Pungent aroma with eggy, green bean, and nutty notes.	eggy; green_beans; nutty	Pungent, acrid scent with metallic and chemical notes.	peanut nutty sweet caramellic	The aroma is pungent, with bitter and medicinal notes, reminiscent of chemicals.	The scent is a strong animalic and sweaty odor.	CC1=C[N+](=CC(=N1)C)C(=O)C
3085846	goodscents	The scent is a sweet and creamy vanilla aroma.	vanilla	vanilla	The scent is sweet and creamy, reminiscent of vanilla's warm, velvety aroma.	Sweet, floral scent with hints of fungi, spice, and vanilla.	flower; fungal; phenolic; spicy; sweet; vanilla	The odorant has a sweet, floral, and slightly fruity scent, reminiscent of vanilla.	sweet vanillic creamy powdery	The aroma is sweet, floral, and milky, with creamy vanilla notes.	The scent is a sweet, floral, and creamy vanilla-like aroma.	CCOC1=C(C=C(C=C1)C(OCC)OCC)OC
3085847	arctander	The scent is sweet, spicy, and fruity, resembling strawberry with good tenacity.	Sweet and slightly spicy, warm, yet refreshing odor with distinctly fruity notes, in dilution appearing Strawberry-like. Good tenacity	berry; fruity; spicy	Sweet berry and fruity notes blend with a hint of spicy warmth.	Sweet and floral with fruity notes, reminiscent of balsamic scents.	balsamic; floral; fruity	The odorant has a sweet, floral, and slightly fruity scent.	Fruity, floral, and slightly green, with a sweet and powdery Lilial-like note.	The scent is sweetly floral with fruity, green, and herbal undertones.	The scent is a sweet, floral, and slightly spicy jasmine-like aroma.	CC(=CC1=CC=CC=C1)COC(=O)C
3085924	arctander	The scent is a mild, fresh blend of fruity and floral notes, resembling peach and apricot.	Mild and fresh-floral-fruity odor of good tenacity. More fruity than floral, the fruity notes resembling Peach and Apricot.	apricot; floral; fruity; peach	Sweet, fruity aroma with notes of apricot and peach, surrounded by floral hints.	The scent is a floral and fruity rose fragrance with herbal and green undertones.	floral; fruity; green; herbaceous; oily; rose	The scent is a fruity, floral, and slightly sweet fragrance, reminiscent of citrus and herbs.	Mild, sweet-herbaceous, floral-woody odor with a slightly spicy undertone and good tenacity.	Fresh, green, and herbaceous, with floral and woody undertones.	The scent is woody, green, and slightly floral with herbal undertones.	CCCCCCC(=O)OCC=C(C)CCC=C(C)C
3086255	goodscents	The scent is dry and woody with notes of tobacco leaf and thuja.	dry woody tobacco-leaf thuja. Luebke	dry; leafy; thujonic; tobacco; woody	Earthy, herbal scent with notes of dry leaves and tobacco.	Earthy, floral scent with woody and fungal undertones.	flower; fungal; sandalwood; vetiver; violet; woody	The odorant has a strong, pungent, and earthy scent, similar to androstenone.	woody sandalwood earthy creamy sweet	Earthy, woody scent with mossy and herbal notes, evoking forest floors.	The scent is a warm, earthy, and woody sandalwood aroma.	CC1CC(C2C1CC(CC2)CC(=O)C)(C)C
3086387	leffingwell	The scent is sweet, fruity, and green with hints of paprika.	Sweet, fruity, green; paprika notes	fruity; green; sweet	The scent is a sweet and fruity aroma with fresh green notes.	Rich, earthy aroma with fruity, nutty, and roasted notes.	earthy; fruity; green; nutty; roasted; tobacco; vegetable	The odorant smells sweetly of vanilla and creamy notes.	Green, earthy, hay-like, and herbal notes with peanut taste	Fruity, floral scent with notes of rose, peach, and honey, and a hint of green tea.	The scent is nutty, almond-like, and slightly sweet with fruity undertones.	CC1=NC=CN=C1OC(C)C
